slice_num,is_special_z0,z_requested_nm,z_actual_nm,n_vtk_points,n_overlap,valid_overlap_frac,nearest_fallback_frac,n_excluded,vtk_min,vtk_mean,vtk_max,vtk_range,vtk_std,fem_min,fem_mean,fem_max,fem_range,fem_std,signed_err_min,signed_err_mean,signed_err_max,abs_err_min,abs_err_mean,abs_err_max,rmse,E_L2,E_range,masked_relerr_min,masked_relerr_mean,masked_relerr_max,n_masked_included,n_masked_excluded,shape_rmse,shape_rel_l2,pearson_r,fwhm_vtk_nm,fwhm_fem_nm,fwhm_diff_nm,peak_x_vtk,peak_y_vtk,peak_x_fem,peak_y_fem,peak_loc_dx,peak_loc_dy,peak_loc_dist,pp_amp_vtk,pp_amp_fem,pp_amp_diff
0,True,0.0,0.0,3721,3721,1.0,0.0,0,-1.2350000143051147,-0.08836466819047928,-0.04833872988820076,1.1866612434387207,0.09449004381895065,-0.9826004804552871,-0.9470555178537795,-0.7759820213558788,0.20661845909940835,0.03358132485764683,-0.9342617505670864,-0.8586908458689303,0.45901799294923595,0.025029037005258048,0.8618138139233926,0.9342617505670864,0.8674067250075604,6.704834264999269,0.1902276313234243,0.03243413613095145,12.849809437564605,19.327395501037667,3721,0,0.1226558498174417,1.298082159650522,-0.786042176607094,28.93610382080078,63.597723518299105,34.661619697498324,0.0,-10.0,0.0,0.0,0.0,10.0,10.0,1.1866612434387207,0.20661845909940835,-0.9800427843393124
1,False,1.0,0.0,3721,3721,1.0,0.0,0,-1.2350000143051147,-0.08836466819047928,-0.04833872988820076,1.1866612434387207,0.09449004381895065,-0.9826004804552871,-0.9470555178537795,-0.7759820213558788,0.20661845909940835,0.03358132485764683,-0.9342617505670864,-0.8586908458689303,0.45901799294923595,0.025029037005258048,0.8618138139233926,0.9342617505670864,0.8674067250075604,6.704834264999269,0.1902276313234243,0.03243413613095145,12.849809437564605,19.327395501037667,3721,0,0.1226558498174417,1.298082159650522,-0.786042176607094,28.93610382080078,63.597723518299105,34.661619697498324,0.0,-10.0,0.0,0.0,0.0,10.0,10.0,1.1866612434387207,0.20661845909940835,-0.9800427843393124
2,False,2.0,2.0,3721,3721,1.0,0.0,0,-0.9433530569076538,0.02416492998600006,0.06307666748762131,1.006429672241211,0.08309417963027954,-0.9849638110961358,-0.9530761353767808,-0.7983377248053328,0.18662608629080302,0.031752068357878666,-1.0480404785837572,-0.9772410652237457,0.14501533210232098,0.018108150252685307,0.9776974785619237,1.0480404785837572,0.9835306826766536,11.365485494886391,0.21569432966738816,0.022781328557603054,17.840223518810948,22.72728495988192,2449,1272,0.11105180796890006,1.3364571982351412,-0.8375622122173335,29.87561798095703,69.81274159893903,39.937123617981996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006429672241211,0.18662608629080302,-0.8198035859504079
3,False,3.0,2.0,3721,3721,1.0,0.0,0,-0.9433530569076538,0.02416492998600006,0.06307666748762131,1.006429672241211,0.08309417963027954,-0.9849638110961358,-0.9530761353767808,-0.7983377248053328,0.18662608629080302,0.031752068357878666,-1.0480404785837572,-0.9772410652237457,0.14501533210232098,0.018108150252685307,0.9776974785619237,1.0480404785837572,0.9835306826766536,11.365485494886391,0.21569432966738816,0.022781328557603054,17.840223518810948,22.72728495988192,2449,1272,0.11105180796890006,1.3364571982351412,-0.8375622122173335,29.87561798095703,69.81274159893903,39.937123617981996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006429672241211,0.18662608629080302,-0.8198035859504079
4,False,4.0,2.0,3721,3721,1.0,0.0,0,-0.9433530569076538,0.02416492998600006,0.06307666748762131,1.006429672241211,0.08309417963027954,-0.9849638110961358,-0.9530761353767808,-0.7983377248053328,0.18662608629080302,0.031752068357878666,-1.0480404785837572,-0.9772410652237457,0.14501533210232098,0.018108150252685307,0.9776974785619237,1.0480404785837572,0.9835306826766536,11.365485494886391,0.21569432966738816,0.022781328557603054,17.840223518810948,22.72728495988192,2449,1272,0.11105180796890006,1.3364571982351412,-0.8375622122173335,29.87561798095703,69.81274159893903,39.937123617981996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006429672241211,0.18662608629080302,-0.8198035859504079
5,False,5.0,2.0,3721,3721,1.0,0.0,0,-0.9433530569076538,0.02416492998600006,0.06307666748762131,1.006429672241211,0.08309417963027954,-0.9849638110961358,-0.9530761353767808,-0.7983377248053328,0.18662608629080302,0.031752068357878666,-1.0480404785837572,-0.9772410652237457,0.14501533210232098,0.018108150252685307,0.9776974785619237,1.0480404785837572,0.9835306826766536,11.365485494886391,0.21569432966738816,0.022781328557603054,17.840223518810948,22.72728495988192,2449,1272,0.11105180796890006,1.3364571982351412,-0.8375622122173335,29.87561798095703,69.81274159893903,39.937123617981996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006429672241211,0.18662608629080302,-0.8198035859504079
6,False,6.0,9.666666984558105,3721,3721,1.0,0.0,0,-0.3967207074165344,0.12458944320678711,0.15983550250530243,0.556556224822998,0.05985845625400543,-0.9941755461412378,-0.9659805114584902,-0.854482336033836,0.13969321010740177,0.026629021774073572,-1.1540110486465402,-1.0905699585572597,-0.4589807966518634,0.4589807966518634,1.0905699585572597,1.1540110486465402,1.093858311898951,7.913728147117538,0.23988985752233274,1.156936827524759,8.323415085732677,20.008574876937075,3577,144,0.08475359591310544,1.4159000651269997,-0.906864137864925,39.39257049560547,81.90596865843241,42.513398162826945,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.556556224822998,0.13969321010740177,-0.4168630147155963
7,False,7.0,9.666666984558105,3721,3721,1.0,0.0,0,-0.3967207074165344,0.12458944320678711,0.15983550250530243,0.556556224822998,0.05985845625400543,-0.9941755461412378,-0.9659805114584902,-0.854482336033836,0.13969321010740177,0.026629021774073572,-1.1540110486465402,-1.0905699585572597,-0.4589807966518634,0.4589807966518634,1.0905699585572597,1.1540110486465402,1.093858311898951,7.913728147117538,0.23988985752233274,1.156936827524759,8.323415085732677,20.008574876937075,3577,144,0.08475359591310544,1.4159000651269997,-0.906864137864925,39.39257049560547,81.90596865843241,42.513398162826945,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.556556224822998,0.13969321010740177,-0.4168630147155963
8,False,8.0,9.666666984558105,3721,3721,1.0,0.0,0,-0.3967207074165344,0.12458944320678711,0.15983550250530243,0.556556224822998,0.05985845625400543,-0.9941755461412378,-0.9659805114584902,-0.854482336033836,0.13969321010740177,0.026629021774073572,-1.1540110486465402,-1.0905699585572597,-0.4589807966518634,0.4589807966518634,1.0905699585572597,1.1540110486465402,1.093858311898951,7.913728147117538,0.23988985752233274,1.156936827524759,8.323415085732677,20.008574876937075,3577,144,0.08475359591310544,1.4159000651269997,-0.906864137864925,39.39257049560547,81.90596865843241,42.513398162826945,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.556556224822998,0.13969321010740177,-0.4168630147155963
9,False,9.0,9.666666984558105,3721,3721,1.0,0.0,0,-0.3967207074165344,0.12458944320678711,0.15983550250530243,0.556556224822998,0.05985845625400543,-0.9941755461412378,-0.9659805114584902,-0.854482336033836,0.13969321010740177,0.026629021774073572,-1.1540110486465402,-1.0905699585572597,-0.4589807966518634,0.4589807966518634,1.0905699585572597,1.1540110486465402,1.093858311898951,7.913728147117538,0.23988985752233274,1.156936827524759,8.323415085732677,20.008574876937075,3577,144,0.08475359591310544,1.4159000651269997,-0.906864137864925,39.39257049560547,81.90596865843241,42.513398162826945,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.556556224822998,0.13969321010740177,-0.4168630147155963
