z_nm,phi_V
-260.0000,9.066044e-01
-259.0000,9.076616e-01
-258.0000,9.087187e-01
-257.0000,9.097402e-01
-256.0000,9.104458e-01
-255.0000,9.111513e-01
-254.0000,9.118569e-01
-253.0000,9.125624e-01
-252.0000,9.132680e-01
-251.0000,9.139736e-01
-250.0000,9.147268e-01
-249.0000,9.155042e-01
-248.0000,9.162817e-01
-247.0000,9.170592e-01
-246.0000,9.179553e-01
-245.0000,9.189584e-01
-244.0000,9.199615e-01
-243.0000,9.216261e-01
-242.0000,9.235794e-01
-241.0000,9.255326e-01
-240.0000,9.274858e-01
-239.0000,9.294391e-01
-238.0000,9.313923e-01
-237.0000,9.333406e-01
-236.0000,9.352465e-01
-235.0000,9.371524e-01
-234.0000,9.388972e-01
-233.0000,9.405017e-01
-232.0000,9.421062e-01
-231.0000,9.437108e-01
-230.0000,9.453153e-01
-229.0000,9.475750e-01
-228.0000,9.505246e-01
-227.0000,9.534742e-01
-226.0000,9.562849e-01
-225.0000,9.590948e-01
-224.0000,9.619047e-01
-223.0000,9.647146e-01
-222.0000,9.675245e-01
-221.0000,9.703099e-01
-220.0000,9.730090e-01
-219.0000,9.757081e-01
-218.0000,9.784072e-01
-217.0000,9.811063e-01
-216.0000,9.838054e-01
-215.0000,9.865045e-01
-214.0000,9.892036e-01
-213.0000,9.919027e-01
-212.0000,9.946018e-01
-211.0000,9.973009e-01
-210.0000,1.000000e+00
-30.0000,1.000000e+00
-29.0000,9.045521e-01
-28.0000,8.091042e-01
-27.0000,7.136563e-01
-26.0000,6.182085e-01
-25.0000,5.227606e-01
-24.0000,4.273127e-01
-23.0000,3.318648e-01
-22.0000,2.364169e-01
-21.0000,1.409690e-01
-20.0000,4.552115e-02
-19.0000,-4.992674e-02
-18.0000,-1.453746e-01
-17.0000,-2.408225e-01
-16.0000,-3.362704e-01
-15.0000,-4.278472e-01
-14.0000,-4.793138e-01
-13.0000,-5.348454e-01
-12.0000,-5.903770e-01
-11.0000,-6.459086e-01
-10.0000,-7.014402e-01
-9.0000,-7.569717e-01
-8.0000,-8.125033e-01
-7.0000,-8.680349e-01
-6.0000,-9.235665e-01
-5.0000,-9.790981e-01
-4.0000,-1.034630e+00
-3.0000,-1.090161e+00
-2.0000,-1.146814e+00
-1.0000,-1.204396e+00
0.0000,-1.261979e+00
1.0000,-1.266447e+00
2.0000,-1.270980e+00
3.0000,-1.273897e+00
4.0000,-1.276814e+00
5.0000,-1.279731e+00
6.0000,-1.282648e+00
7.0000,-1.285565e+00
8.0000,-1.288495e+00
9.0000,-1.291474e+00
10.0000,-1.294452e+00
11.0000,-1.297431e+00
12.0000,-1.300410e+00
13.0000,-1.303388e+00
14.0000,-1.306367e+00
15.0000,-1.309346e+00
16.0000,-1.312324e+00
17.0000,-1.315303e+00
18.0000,-1.318282e+00
19.0000,-1.321260e+00
20.0000,-1.324239e+00
21.0000,-1.327218e+00
22.0000,-1.330196e+00
23.0000,-1.333175e+00
24.0000,-1.336154e+00
25.0000,-1.339133e+00
26.0000,-1.342111e+00
27.0000,-1.345090e+00
28.0000,-1.348069e+00
29.0000,-1.351049e+00
30.0000,-1.354029e+00
31.0000,-1.356467e+00
32.0000,-1.358925e+00
33.0000,-1.361384e+00
34.0000,-1.363842e+00
35.0000,-1.366300e+00
36.0000,-1.368673e+00
37.0000,-1.371046e+00
38.0000,-1.373419e+00
39.0000,-1.375792e+00
40.0000,-1.378163e+00
41.0000,-1.380365e+00
42.0000,-1.382570e+00
43.0000,-1.384774e+00
44.0000,-1.386933e+00
45.0000,-1.389104e+00
46.0000,-1.391274e+00
47.0000,-1.393444e+00
48.0000,-1.395615e+00
49.0000,-1.397736e+00
50.0000,-1.399857e+00
51.0000,-1.401979e+00
52.0000,-1.404100e+00
53.0000,-1.406209e+00
54.0000,-1.408041e+00
55.0000,-1.409872e+00
56.0000,-1.411703e+00
57.0000,-1.413535e+00
58.0000,-1.415366e+00
59.0000,-1.417198e+00
60.0000,-1.419029e+00
61.0000,-1.420860e+00
62.0000,-1.422692e+00
63.0000,-1.424523e+00
64.0000,-1.426354e+00
65.0000,-1.428186e+00
66.0000,-1.430017e+00
67.0000,-1.431847e+00
68.0000,-1.433676e+00
69.0000,-1.435505e+00
70.0000,-1.437334e+00
71.0000,-1.439156e+00
72.0000,-1.440975e+00
73.0000,-1.442794e+00
74.0000,-1.444613e+00
75.0000,-1.446432e+00
76.0000,-1.448251e+00
77.0000,-1.450070e+00
78.0000,-1.451890e+00
79.0000,-1.453709e+00
80.0000,-1.455528e+00
81.0000,-1.457347e+00
82.0000,-1.459022e+00
83.0000,-1.460682e+00
84.0000,-1.462342e+00
85.0000,-1.464002e+00
86.0000,-1.465662e+00
87.0000,-1.467321e+00
88.0000,-1.468974e+00
89.0000,-1.470623e+00
90.0000,-1.472273e+00
91.0000,-1.473922e+00
92.0000,-1.475572e+00
93.0000,-1.477221e+00
94.0000,-1.478871e+00
95.0000,-1.480527e+00
96.0000,-1.482191e+00
97.0000,-1.483854e+00
98.0000,-1.485518e+00
99.0000,-1.487182e+00
100.0000,-1.488845e+00
120.0000,-1.521208e+00
140.0000,-1.552384e+00
160.0000,-1.583088e+00
180.0000,-1.613488e+00
200.0000,-1.643650e+00
220.0000,-1.673642e+00
240.0000,-1.703530e+00
260.0000,-1.733369e+00
280.0000,-1.763203e+00
300.0000,-1.792990e+00
320.0000,-1.822760e+00
340.0000,-1.852521e+00
360.0000,-1.882277e+00
380.0000,-1.912027e+00
400.0000,-1.941776e+00
420.0000,-1.971523e+00
440.0000,-2.001268e+00
460.0000,-2.031011e+00
480.0000,-2.060755e+00
500.0000,-2.090498e+00
520.0000,-2.120241e+00
540.0000,-2.149984e+00
560.0000,-2.179726e+00
580.0000,-2.209469e+00
600.0000,-2.239212e+00
620.0000,-2.268954e+00
640.0000,-2.298697e+00
660.0000,-2.328439e+00
680.0000,-2.358181e+00
700.0000,-2.387924e+00
720.0000,-2.417666e+00
740.0000,-2.447409e+00
760.0000,-2.477151e+00
780.0000,-2.506894e+00
800.0000,-2.536636e+00
820.0000,-2.566379e+00
840.0000,-2.596121e+00
860.0000,-2.625863e+00
880.0000,-2.655606e+00
900.0000,-2.685348e+00
920.0000,-2.715091e+00
940.0000,-2.744833e+00
960.0000,-2.774576e+00
980.0000,-2.804318e+00
1000.0000,-2.834061e+00
1020.0000,-2.863803e+00
1040.0000,-2.893545e+00
1060.0000,-2.923288e+00
1080.0000,-2.953030e+00
1100.0000,-2.982773e+00
1120.0000,-3.012515e+00
1140.0000,-3.042258e+00
1160.0000,-3.072000e+00
1180.0000,-3.101742e+00
1200.0000,-3.131485e+00
1220.0000,-3.161227e+00
1240.0000,-3.190970e+00
1260.0000,-3.220712e+00
1280.0000,-3.250455e+00
1300.0000,-3.280197e+00
1320.0000,-3.309940e+00
1340.0000,-3.339682e+00
1360.0000,-3.369424e+00
1380.0000,-3.399167e+00
1400.0000,-3.428909e+00
1420.0000,-3.458652e+00
1440.0000,-3.488394e+00
1460.0000,-3.518137e+00
1480.0000,-3.547879e+00
1500.0000,-3.577622e+00
1520.0000,-3.607364e+00
1540.0000,-3.637106e+00
1560.0000,-3.666849e+00
1580.0000,-3.696591e+00
1600.0000,-3.726334e+00
1620.0000,-3.756076e+00
1640.0000,-3.785819e+00
1660.0000,-3.815561e+00
1680.0000,-3.845303e+00
1700.0000,-3.875046e+00
1720.0000,-3.904788e+00
1740.0000,-3.934531e+00
1760.0000,-3.964273e+00
1780.0000,-3.994016e+00
1800.0000,-4.023758e+00
1820.0000,-4.053501e+00
1840.0000,-4.083243e+00
1860.0000,-4.112985e+00
1880.0000,-4.142728e+00
1900.0000,-4.172470e+00
1920.0000,-4.202213e+00
1940.0000,-4.231955e+00
1960.0000,-4.261698e+00
1980.0000,-4.291440e+00
2000.0000,-4.321183e+00
2020.0000,-4.350925e+00
2040.0000,-4.380667e+00
2053.0000,-4.400000e+00
