case,n_points,nearest_fallback_frac,abs_err_mean,abs_err_max,rel_l2_error,pct_err_mean,pct_err_median,pct_err_max,pct_err_mean_masked,pct_err_max_masked,n_points_above_threshold,slice_z
"run3 (angle=34.5deg, tip=1.0V, bottom=-4.4V)",636291,0.0,0.6945643925257844,1.1540110486465402,0.39050901384445735,1721.7702714688464,138.44069309905774,14754054.311266743,333.0406367475926,2398.6920641869406,583439,global
"run3 (angle=34.5deg, tip=1.0V, bottom=-4.4V)",11163,0.0,0.9766937503475253,1.1540110486465402,8.203781095742219,3004.660465917148,1417.0171779203615,1979302.2581219226,1244.2567361897168,2272.728495988192,9747,0.0
"run3 (angle=34.5deg, tip=1.0V, bottom=-4.4V)",11163,0.0,0.9766937503475253,1.1540110486465402,8.203781095742219,3004.660465917148,1417.0171779203615,1979302.2581219226,1244.2567361897168,2272.728495988192,9747,2.0
"run3 (angle=34.5deg, tip=1.0V, bottom=-4.4V)",111630,0.0,0.9245044647009015,1.13262371402884,6.374820170326949,2102.624380724277,587.8547703019406,10482121.53510162,738.0851351959624,2297.669251674424,105610,30.0
"run3 (angle=34.5deg, tip=1.0V, bottom=-4.4V)",145119,0.0,0.9337325364609073,1.1319639269415687,6.708967502209133,2983.2513092856866,605.0961159609535,14754054.311266743,853.9266213802629,2398.6920641869406,134503,35.0
"run3 (angle=34.5deg, tip=1.0V, bottom=-4.4V)",145119,0.0,0.8729619370796036,1.1107049618201046,5.262675928579503,1785.0826095420757,509.2037630247311,14754054.311266743,664.2779137050746,2398.6920641869406,140235,40.0
"run3 (angle=34.5deg, tip=1.0V, bottom=-4.4V)",145119,0.0,0.8707773012475137,1.1107049618201046,5.02079139285252,1763.057599352412,472.8600772126215,14754054.311266743,641.4858328856368,2398.6920641869406,140235,43.0
"run3 (angle=34.5deg, tip=1.0V, bottom=-4.4V)",145119,0.0,0.924509040401107,1.1107049618201046,6.1209311232566215,4924.8459066139985,496.79372573574636,14754054.311266743,702.1112034275209,2398.6920641869406,106787,48.0
"run3 (angle=34.5deg, tip=1.0V, bottom=-4.4V)",111630,0.0,0.9114532322954199,1.0936495564666144,5.6932864552562705,5159.74636184413,465.7543538826237,9966051.051658224,454.50433011917636,2210.392575151008,74470,53.0
