slice_num,z_nm,n_points,vtk_phi_min,vtk_phi_mean,vtk_phi_max,fem_phi_min,fem_phi_mean,fem_phi_max,abs_err_min,abs_err_mean,abs_err_max,rel_err_min,rel_err_mean,rel_err_max
1,0.0,11163,-1.235,0.020129904,0.1598355,-0.9941755461412378,-0.9553707215630168,-0.7759820213558788,-1.1540110486465402,-0.975500623216645,0.45901799294923595,0.022781328557603054,30.046604659171486,19793.022581219226
2,1.0,11163,-1.235,0.020129904,0.1598355,-0.9941755461412378,-0.9553707215630168,-0.7759820213558788,-1.1540110486465402,-0.975500623216645,0.45901799294923595,0.022781328557603054,30.046604659171486,19793.022581219226
3,2.0,11163,-1.235,0.020129904,0.1598355,-0.9941755461412378,-0.9553707215630168,-0.7759820213558788,-1.1540110486465402,-0.975500623216645,0.45901799294923595,0.022781328557603054,30.046604659171486,19793.022581219226
4,3.0,11163,-1.235,0.020129904,0.1598355,-0.9941755461412378,-0.9553707215630168,-0.7759820213558788,-1.1540110486465402,-0.975500623216645,0.45901799294923595,0.022781328557603054,30.046604659171486,19793.022581219226
5,4.0,11163,-1.235,0.020129904,0.1598355,-0.9941755461412378,-0.9553707215630168,-0.7759820213558788,-1.1540110486465402,-0.975500623216645,0.45901799294923595,0.022781328557603054,30.046604659171486,19793.022581219226
6,5.0,11163,-1.235,0.020129904,0.1598355,-0.9941755461412378,-0.9553707215630168,-0.7759820213558788,-1.1540110486465402,-0.975500623216645,0.45901799294923595,0.022781328557603054,30.046604659171486,19793.022581219226
7,6.0,11163,-1.235,0.020129904,0.1598355,-0.9941755461412378,-0.9553707215630168,-0.7759820213558788,-1.1540110486465402,-0.975500623216645,0.45901799294923595,0.022781328557603054,30.046604659171486,19793.022581219226
8,7.0,11163,-1.235,0.020129904,0.1598355,-0.9941755461412378,-0.9553707215630168,-0.7759820213558788,-1.1540110486465402,-0.975500623216645,0.45901799294923595,0.022781328557603054,30.046604659171486,19793.022581219226
9,8.0,14884,-1.235,0.041978598,0.1598355,-1.0035135541236633,-0.9612094627875465,-0.7759820213558788,-1.1540110486465402,-1.0031880565388707,0.45901799294923595,0.022781328557603054,26.728321192192123,19793.022581219226
10,9.0,14884,-1.235,0.041978598,0.1598355,-1.0035135541236633,-0.9612094627875465,-0.7759820213558788,-1.1540110486465402,-1.0031880565388707,0.45901799294923595,0.022781328557603054,26.728321192192123,19793.022581219226
11,10.0,11163,-0.94335306,0.085426345,0.1598355,-1.0035135541236633,-0.9659274444321355,-0.7983377248053328,-1.1540110486465402,-1.0513537934288508,0.14501533210232098,0.022781328557603054,31.35449177706797,19793.022581219226
12,11.0,11163,-0.94335306,0.085426345,0.1598355,-1.0035135541236633,-0.9659274444321355,-0.7983377248053328,-1.1540110486465402,-1.0513537934288508,0.14501533210232098,0.022781328557603054,31.35449177706797,19793.022581219226
13,12.0,7442,-0.3967207,0.11605706,0.1598355,-1.0035135541236633,-0.9723530989598128,-0.854482336033836,-1.1540110486465402,-1.0884101575314034,-0.4589807966518634,1.156936827524759,13.630224430089928,1241.1906198089512
14,13.0,7442,-0.3967207,0.11605706,0.1598355,-1.0035135541236633,-0.9723530989598128,-0.854482336033836,-1.1540110486465402,-1.0884101575314034,-0.4589807966518634,1.156936827524759,13.630224430089928,1241.1906198089512
15,14.0,7442,-0.3967207,0.11605706,0.1598355,-1.0035135541236633,-0.9723530989598128,-0.854482336033836,-1.1540110486465402,-1.0884101575314034,-0.4589807966518634,1.156936827524759,13.630224430089928,1241.1906198089512
16,15.0,7442,-0.3967207,0.11605706,0.1598355,-1.0035135541236633,-0.9723530989598128,-0.854482336033836,-1.1540110486465402,-1.0884101575314034,-0.4589807966518634,1.156936827524759,13.630224430089928,1241.1906198089512
17,16.0,14884,-0.3967207,0.10298571,0.1598355,-1.0140994746391128,-0.9821333760499089,-0.854482336033836,-1.1540110486465402,-1.0851190929377854,-0.4589807966518634,1.156936827524759,20.41123939260167,6664.527090479781
18,17.0,22326,-0.3967207,0.097887374,0.1598355,-1.0153977830151417,-0.9859474257967953,-0.854482336033836,-1.1540110486465402,-1.0838347998340307,-0.4589807966518634,1.156936827524759,25.74998727733927,13510.449735477472
19,18.0,29768,-0.3967207,0.09478232,0.1598355,-1.0166974982515264,-0.9882698634241479,-0.854482336033836,-1.1540110486465402,-1.0830521868246974,-0.4589807966518634,1.156936827524759,25.858589266719154,13510.449735477472
20,19.0,37210,-0.3967207,0.09247462,0.1598355,-1.018021315917606,-0.9899956078426586,-0.854482336033836,-1.1540110486465402,-1.0824702313775512,-0.4589807966518634,1.156936827524759,47.71927535212521,104821.2153510162
21,20.0,40931,-0.20381558,0.08747255,0.13936874,-1.0193519770438335,-0.9937359306850448,-0.8947164454434742,-1.1428822968280548,-1.0812084831711957,-0.6912788151269998,3.3916878047953047,46.38231612629131,104821.2153510162
22,21.0,48373,-0.31972566,0.0590127,0.13936874,-1.0206826381700613,-0.9947356975531113,-0.8947164454434742,-1.1428822968280548,-1.0537483970884234,-0.6263211137468537,1.9589328829864834,42.69603237179033,104821.2153510162
23,22.0,55815,-0.31972566,0.029978229,0.13936874,-1.0220317640680932,-0.9956974132525593,-0.8947164454434742,-1.1428822968280548,-1.025675641568041,-0.6263211137468537,1.9589328829864834,37.73883518330561,104821.2153510162
