case,n_points,nearest_fallback_frac,abs_err_mean,abs_err_max,rel_l2_error,pct_err_mean,pct_err_median,pct_err_max,pct_err_mean_masked,pct_err_max_masked,n_points_above_threshold,slice_z
"AFM tip run2 (coarse mesh, uncalibrated V)",636291,0.0,1.7240957088247697,4.4000000953710945,1.0879097290203172,1032.083604971655,172.7287067706502,8371351.581084725,273.98831983742093,1389.4282520703869,583439,global
"AFM tip run2 (coarse mesh, uncalibrated V)",11163,0.0,0.551573796791932,1.8227677215806377,4.699878437364391,1804.7778501526595,884.7777632519576,1235165.6896793284,713.1947029986429,1334.426936409516,9747,0.0
"AFM tip run2 (coarse mesh, uncalibrated V)",11163,0.0,0.551573796791932,1.8227677215806377,4.699878437364391,1804.7778501526595,884.7777632519576,1235165.6896793284,713.1947029986429,1334.426936409516,9747,2.0
"AFM tip run2 (coarse mesh, uncalibrated V)",111630,0.0,0.6427117291380199,0.8904810253220897,4.472707373628191,1283.2242963027074,458.30515362708144,6253569.129395419,472.2232225840117,1389.4282520703869,105610,30.0
"AFM tip run2 (coarse mesh, uncalibrated V)",145119,0.0,0.6373872817213301,0.8904810253220897,4.620381419113516,1760.7738132252089,466.1179416296986,8371351.581084725,528.8179865349384,1389.4282520703869,134503,35.0
"AFM tip run2 (coarse mesh, uncalibrated V)",145119,0.0,0.7052607132485272,0.8904810253220897,4.259980333307864,1119.0973517393822,436.95291770398524,8371351.581084725,489.4112379393437,1371.5526691508933,140235,40.0
"AFM tip run2 (coarse mesh, uncalibrated V)",145119,0.0,0.7117245280460294,0.8762871717403006,4.112660002476029,1105.0223801829115,411.49173147355,8371351.581084725,474.8460737698885,1371.5526691508933,140235,43.0
"AFM tip run2 (coarse mesh, uncalibrated V)",145119,0.0,0.6651073422092384,0.8594971546795639,4.429522320478671,2747.121628749232,423.2313963734148,8371351.581084725,496.05224562512,1373.5822600914303,106787,48.0
"AFM tip run2 (coarse mesh, uncalibrated V)",111630,0.0,0.6820729233545698,0.8494193274333204,4.278317428346493,2847.6927830756017,405.1099347936413,5429413.695170865,400.14204009638047,1373.5822600914303,74470,53.0
