z_nm,phi_V
-320.0000,-1.931507e-04
-319.0000,-1.917321e-04
-318.0000,-1.903135e-04
-317.0000,-1.888695e-04
-316.0000,-1.868710e-04
-315.0000,-1.847970e-04
-314.0000,-1.827915e-04
-313.0000,-1.808059e-04
-312.0000,-1.788203e-04
-311.0000,-1.768347e-04
-310.0000,-1.748491e-04
-309.0000,-1.728635e-04
-308.0000,-1.699201e-04
-307.0000,-1.662051e-04
-306.0000,-1.625989e-04
-305.0000,-1.589927e-04
-304.0000,-1.547019e-04
-303.0000,-1.499922e-04
-302.0000,-1.452825e-04
-301.0000,-1.405729e-04
-300.0000,-1.356203e-04
-299.0000,-1.299084e-04
-298.0000,-1.241965e-04
-297.0000,-1.184845e-04
-296.0000,-1.128805e-04
-295.0000,-1.063993e-04
-294.0000,-9.990065e-05
-293.0000,-9.340196e-05
-292.0000,-8.690328e-05
-291.0000,-8.040040e-05
-290.0000,-7.331912e-05
-289.0000,-6.624053e-05
-288.0000,-5.912771e-05
-287.0000,-5.198516e-05
-286.0000,-4.482298e-05
-285.0000,-3.733285e-05
-284.0000,-2.984272e-05
-283.0000,-2.235258e-05
-282.0000,-1.488976e-05
-281.0000,-7.444881e-06
-280.0000,-1.571826e-12
-10.0000,-3.407950e-11
-9.0000,-1.779607e-01
-8.0000,-3.559214e-01
-7.0000,-5.338822e-01
-6.0000,-7.118429e-01
-5.0000,-8.655831e-01
-4.0000,-9.803698e-01
-3.0000,-1.095156e+00
-2.0000,-1.209404e+00
-1.0000,-1.327270e+00
0.0000,-1.447096e+00
1.0000,-1.456114e+00
2.0000,-1.465312e+00
3.0000,-1.471397e+00
4.0000,-1.477445e+00
5.0000,-1.483492e+00
6.0000,-1.489540e+00
7.0000,-1.495588e+00
8.0000,-1.501635e+00
9.0000,-1.507897e+00
10.0000,-1.513774e+00
11.0000,-1.518937e+00
12.0000,-1.523003e+00
13.0000,-1.526703e+00
14.0000,-1.530678e+00
15.0000,-1.534720e+00
16.0000,-1.538762e+00
17.0000,-1.542804e+00
18.0000,-1.546846e+00
19.0000,-1.550866e+00
20.0000,-1.554521e+00
21.0000,-1.557997e+00
22.0000,-1.561062e+00
23.0000,-1.563946e+00
24.0000,-1.566830e+00
25.0000,-1.569713e+00
26.0000,-1.572598e+00
27.0000,-1.575524e+00
28.0000,-1.578450e+00
29.0000,-1.581375e+00
30.0000,-1.584362e+00
31.0000,-1.586974e+00
32.0000,-1.589586e+00
33.0000,-1.592198e+00
34.0000,-1.594810e+00
35.0000,-1.597422e+00
36.0000,-1.599922e+00
37.0000,-1.602423e+00
38.0000,-1.604924e+00
39.0000,-1.607425e+00
40.0000,-1.609926e+00
41.0000,-1.612162e+00
42.0000,-1.614423e+00
43.0000,-1.616700e+00
44.0000,-1.618868e+00
45.0000,-1.621036e+00
46.0000,-1.623204e+00
47.0000,-1.625372e+00
48.0000,-1.627540e+00
49.0000,-1.629668e+00
50.0000,-1.631795e+00
51.0000,-1.633922e+00
52.0000,-1.636050e+00
53.0000,-1.638177e+00
54.0000,-1.640078e+00
55.0000,-1.641978e+00
56.0000,-1.643879e+00
57.0000,-1.645779e+00
58.0000,-1.647679e+00
59.0000,-1.649584e+00
60.0000,-1.651439e+00
61.0000,-1.653279e+00
62.0000,-1.655119e+00
63.0000,-1.656960e+00
64.0000,-1.658800e+00
65.0000,-1.660626e+00
66.0000,-1.662352e+00
67.0000,-1.664077e+00
68.0000,-1.665837e+00
69.0000,-1.667601e+00
70.0000,-1.669364e+00
71.0000,-1.671127e+00
72.0000,-1.672890e+00
73.0000,-1.674653e+00
74.0000,-1.676416e+00
75.0000,-1.678164e+00
76.0000,-1.679830e+00
77.0000,-1.681496e+00
78.0000,-1.683163e+00
79.0000,-1.684815e+00
80.0000,-1.686443e+00
81.0000,-1.688070e+00
82.0000,-1.689698e+00
83.0000,-1.691326e+00
84.0000,-1.692953e+00
85.0000,-1.694581e+00
86.0000,-1.696209e+00
87.0000,-1.697836e+00
88.0000,-1.699464e+00
89.0000,-1.701087e+00
90.0000,-1.702711e+00
91.0000,-1.704248e+00
92.0000,-1.705784e+00
93.0000,-1.707320e+00
94.0000,-1.708856e+00
95.0000,-1.710392e+00
96.0000,-1.711928e+00
97.0000,-1.713464e+00
98.0000,-1.715003e+00
99.0000,-1.716541e+00
100.0000,-1.718080e+00
120.0000,-1.748260e+00
140.0000,-1.777433e+00
160.0000,-1.805889e+00
180.0000,-1.833960e+00
200.0000,-1.861774e+00
220.0000,-1.889439e+00
240.0000,-1.917015e+00
260.0000,-1.944528e+00
280.0000,-1.971985e+00
300.0000,-1.999421e+00
320.0000,-2.026842e+00
340.0000,-2.054252e+00
360.0000,-2.081653e+00
380.0000,-2.109048e+00
400.0000,-2.136442e+00
420.0000,-2.163833e+00
440.0000,-2.191223e+00
460.0000,-2.218611e+00
480.0000,-2.246000e+00
500.0000,-2.273388e+00
520.0000,-2.300775e+00
