z_nm,phi_V
540.0000,-2.328163e+00
560.0000,-2.355550e+00
580.0000,-2.382937e+00
600.0000,-2.410325e+00
620.0000,-2.437712e+00
640.0000,-2.465099e+00
660.0000,-2.492486e+00
680.0000,-2.519873e+00
700.0000,-2.547260e+00
720.0000,-2.574647e+00
740.0000,-2.602035e+00
760.0000,-2.629422e+00
780.0000,-2.656809e+00
800.0000,-2.684196e+00
820.0000,-2.711583e+00
840.0000,-2.738970e+00
860.0000,-2.766357e+00
880.0000,-2.793745e+00
900.0000,-2.821132e+00
920.0000,-2.848519e+00
940.0000,-2.875906e+00
960.0000,-2.903293e+00
980.0000,-2.930680e+00
1000.0000,-2.958067e+00
1020.0000,-2.985455e+00
1040.0000,-3.012842e+00
1060.0000,-3.040229e+00
1080.0000,-3.067616e+00
1100.0000,-3.095003e+00
1120.0000,-3.122390e+00
1140.0000,-3.149777e+00
1160.0000,-3.177164e+00
1180.0000,-3.204552e+00
1200.0000,-3.231939e+00
1220.0000,-3.259326e+00
1240.0000,-3.286713e+00
1260.0000,-3.314100e+00
1280.0000,-3.341487e+00
1300.0000,-3.368874e+00
1320.0000,-3.396262e+00
1340.0000,-3.423649e+00
1360.0000,-3.451036e+00
1380.0000,-3.478423e+00
1400.0000,-3.505810e+00
1420.0000,-3.533197e+00
1440.0000,-3.560584e+00
1460.0000,-3.587971e+00
1480.0000,-3.615359e+00
1500.0000,-3.642746e+00
1520.0000,-3.670133e+00
1540.0000,-3.697520e+00
1560.0000,-3.724907e+00
1580.0000,-3.752294e+00
1600.0000,-3.779681e+00
1620.0000,-3.807069e+00
1640.0000,-3.834456e+00
1660.0000,-3.861843e+00
1680.0000,-3.889230e+00
1700.0000,-3.916617e+00
1720.0000,-3.944004e+00
1740.0000,-3.971391e+00
1760.0000,-3.998778e+00
1780.0000,-4.026166e+00
1800.0000,-4.053553e+00
1820.0000,-4.080940e+00
1840.0000,-4.108327e+00
1860.0000,-4.135714e+00
1880.0000,-4.163101e+00
1900.0000,-4.190488e+00
1920.0000,-4.217876e+00
1940.0000,-4.245263e+00
1960.0000,-4.272650e+00
1980.0000,-4.300037e+00
2000.0000,-4.327424e+00
2020.0000,-4.354811e+00
2040.0000,-4.382198e+00
2053.0000,-4.400000e+00
