x_m,phi_FE_V,phi0_V
-6.999999999999999e-08,0.11900946103938492,0.09252727415443615
-6.499999999999999e-08,0.11847092386214794,0.09347845972309127
-6e-08,0.11689466322097744,0.09349191451634078
-5.4999999999999996e-08,0.11440602452870828,0.09260933047609331
-5e-08,0.11122984902743593,0.09088620549745242
-4.5e-08,0.10768560586019763,0.0884175715951595
-3.9999999999999994e-08,0.10413468577583646,0.08536289953657125
-3.4999999999999996e-08,0.10088752972383842,0.08195342340516659
-3e-08,0.09815478811322761,0.07846798328349633
-2.5000000000000002e-08,0.09605131981814649,0.07518238463224788
-2e-08,0.09462549913136176,0.07231862336564635
-1.5e-08,0.09389082097397221,0.07002034782649998
-1.0000000000000002e-08,0.0938496722379052,0.06835963782837431
-5.0000000000000026e-09,0.09450723708872918,0.06736138849467757
-3.2136428821087126e-24,0.09587625613435213,0.06702892989268502
4.999999999999996e-09,0.09797317549673089,0.06736138849467757
9.999999999999995e-09,0.1008051810627412,0.06835963782837431
1.4999999999999992e-08,0.10434741806705859,0.07002034782649998
1.9999999999999994e-08,0.10851241999528993,0.07231862336564635
2.4999999999999996e-08,0.11312181248372095,0.07518238463224788
2.999999999999999e-08,0.11790312395528867,0.07846798328349633
3.499999999999999e-08,0.12253885576545609,0.0819534234051666
3.9999999999999994e-08,0.12675828540334735,0.08536289953657124
4.499999999999999e-08,0.13038657436669873,0.08841757159515948
4.999999999999999e-08,0.13334161881267095,0.09088620549745241
5.499999999999999e-08,0.1356057091927052,0.0926093304760933
5.999999999999998e-08,0.13719465816281778,0.09349191451634074
6.499999999999999e-08,0.1381341450680724,0.09347845972309128
6.999999999999998e-08,0.13844475446917776,0.09252727415443615
