x_m,phi_FE_V,phi0_V
-1.3999999999999998e-07,0.055832301825385504,0.018564612651135116
-1.3499999999999998e-07,0.05665594091663081,0.021978195612766933
-1.2999999999999997e-07,0.059100378464479984,0.02609988985406218
-1.25e-07,0.06307183386248771,0.031020174029165022
-1.2e-07,0.06837157533408386,0.03678250964843653
-1.15e-07,0.07465503823549566,0.0433414389460824
-1.0999999999999999e-07,0.08142854173032806,0.050524246109044886
-1.05e-07,0.08813079165337619,0.058022550988284426
-1e-07,0.09428456175255916,0.06543628918160901
-9.499999999999999e-08,0.0995769972722053,0.07236148326576008
-9e-08,0.10385312751375153,0.0784778384146754
-8.5e-08,0.10706805136802382,0.08359223051604583
-7.999999999999999e-08,0.10923590853014059,0.08762961878151036
-7.5e-08,0.11039240405951115,0.09059412951038939
-6.999999999999999e-08,0.11057419467017224,0.09252727415443615
-6.5e-08,0.10981372835413998,0.09347845972309131
-6e-08,0.10814791540911613,0.09349191451634078
-5.5e-08,0.10563945082857103,0.0926093304760933
-5.0000000000000004e-08,0.1024074906694829,0.09088620549745242
-4.5e-08,0.09865687202677274,0.0884175715951595
-4e-08,0.09468264329725651,0.08536289953657122
-3.5e-08,0.09082252245686472,0.08195342340516662
-3e-08,0.08736663872449756,0.07846798328349633
-2.5000000000000002e-08,0.0845098277859687,0.07518238463224788
-2.0000000000000004e-08,0.08235588913852432,0.07231862336564636
-1.5000000000000005e-08,0.08094655499619913,0.07002034782649999
-1.0000000000000005e-08,0.08029220294641838,0.06835963782837431
-5.000000000000006e-09,0.08039399186418926,0.06736138849467757
-6.70106219235348e-24,0.08125495757662853,0.06702892989268502
4.999999999999993e-09,0.08288016430035323,0.06736138849467757
9.999999999999992e-09,0.08526592096582084,0.06835963782837431
1.4999999999999992e-08,0.08837798479822004,0.07002034782649998
1.999999999999999e-08,0.09212123433430074,0.07231862336564635
2.499999999999999e-08,0.09631115066879174,0.07518238463224788
2.9999999999999984e-08,0.10067009035743768,0.07846798328349633
3.499999999999999e-08,0.10487560784709156,0.0819534234051666
3.999999999999999e-08,0.10865140599793655,0.08536289953657124
4.4999999999999986e-08,0.11181558812873103,0.08841757159515949
4.999999999999999e-08,0.11427671297858588,0.09088620549745241
5.499999999999999e-08,0.11600472863607801,0.0926093304760933
5.999999999999998e-08,0.11699942483857691,0.09349191451634074
6.499999999999999e-08,0.11726614984733952,0.09347845972309128
6.999999999999998e-08,0.11680034278665324,0.09252727415443615
7.499999999999998e-08,0.11557953695626501,0.09059412951038939
7.999999999999999e-08,0.11356160204103072,0.08762961878151038
8.499999999999998e-08,0.11068938562033237,0.08359223051604585
8.999999999999999e-08,0.10690368248331565,0.07847783841467543
9.499999999999998e-08,0.10216786368703991,0.07236148326576011
9.999999999999998e-08,0.09650708568307019,0.06543628918160906
1.0499999999999999e-07,0.09005981660993724,0.05802255098828445
1.0999999999999998e-07,0.08312554887131388,0.0505242461090449
1.1499999999999998e-07,0.07617094075140922,0.043341438946082424
1.1999999999999996e-07,0.06974910680702308,0.036782509648436566
1.2499999999999997e-07,0.06434755728177521,0.031020174029165036
1.2999999999999997e-07,0.06030637838087475,0.02609988985406218
1.3499999999999998e-07,0.057821272067778706,0.02197819561276693
1.4e-07,0.05698426764988837,0.018564612651135102
