results/phi_p2a,2.5310613782742677,983429522.7649182,2.542124211373312e-10
results/phi_p3a,2.4624695482531744,408163265.30612236,6.125000000000001e-10
results/phi_p4a,2.3145184255836218,408163265.30612236,6.125000000000001e-10
results/phi_p5a,2.2278425697404174,408163265.30612236,6.125000000000001e-10
results/phi_p2a,2.5310613782742677,983429522.7649182,2.542124211373312e-10
results/phi_p3a,2.4624695482531744,408163265.30612236,6.125000000000001e-10
results/phi_p4a,2.3145184255836218,408163265.30612236,6.125000000000001e-10
results/phi_p5a,2.2278425697404174,408163265.30612236,6.125000000000001e-10
results/phi_p2a,2.5310613782742677,983429522.7649182,2.542124211373312e-10
results/phi_p3a,2.4624695482531744,408163265.30612236,6.125000000000001e-10
results/phi_p4a,2.3145184255836218,408163265.30612236,6.125000000000001e-10
results/phi_p5a,2.2278425697404174,408163265.30612236,6.125000000000001e-10
results/phi_p2a,2.5310613782742677,983429522.7649182,2.542124211373312e-10
results/phi_p3a,2.4624695482531744,408163265.30612236,6.125000000000001e-10
results/phi_p4a,2.3145184255836218,408163265.30612236,6.125000000000001e-10
results/phi_p5a,2.2278425697404174,408163265.30612236,6.125000000000001e-10
results/phi_p2a,2.5310613782742677,983429522.7649182,2.542124211373312e-10
results/phi_p3a,2.4624695482531744,408163265.30612236,6.125000000000001e-10
results/phi_p4a,2.3145184255836218,408163265.30612236,6.125000000000001e-10
results/phi_p5a,2.2278425697404174,408163265.30612236,6.125000000000001e-10
results/phi_p2a,2.5310613782742677,983429522.7649182,2.542124211373312e-10
results/phi_p3a,2.4624695482531744,408163265.30612236,6.125000000000001e-10
results/phi_p4a,2.3145184255836218,408163265.30612236,6.125000000000001e-10
results/phi_p5a,2.2278425697404174,408163265.30612236,6.125000000000001e-10
results/phi_p2a,2.5310613782742677,983429522.7649182,2.542124211373312e-10
results/phi_p3a,2.4624695482531744,408163265.30612236,6.125000000000001e-10
results/phi_p4a,2.3145184255836218,408163265.30612236,6.125000000000001e-10
results/phi_p5a,2.2278425697404174,408163265.30612236,6.125000000000001e-10
results/phi_p2a,2.5310613782742677,983429522.7649182,2.542124211373312e-10
results/phi_p3a,2.4624695482531744,408163265.30612236,6.125000000000001e-10
results/phi_p4a,2.3145184255836218,408163265.30612236,6.125000000000001e-10
results/phi_p5a,2.2278425697404174,408163265.30612236,6.125000000000001e-10
results/phi_p2a,2.5310613782742677,983429522.7649182,2.542124211373312e-10
results/phi_p3a,2.4624695482531744,408163265.30612236,6.125000000000001e-10
results/phi_p4a,2.3145184255836218,408163265.30612236,6.125000000000001e-10
results/phi_p5a,2.2278425697404174,408163265.30612236,6.125000000000001e-10
results/phi_p2a,2.5310613782742677,983429522.7649182,2.542124211373312e-10
