z_nm,phi_V
-320.0000,-1.986438e-04
-319.0000,-1.971849e-04
-318.0000,-1.957260e-04
-317.0000,-1.942409e-04
-316.0000,-1.921856e-04
-315.0000,-1.900526e-04
-314.0000,-1.879901e-04
-313.0000,-1.859480e-04
-312.0000,-1.839059e-04
-311.0000,-1.818638e-04
-310.0000,-1.798217e-04
-309.0000,-1.777797e-04
-308.0000,-1.747525e-04
-307.0000,-1.709319e-04
-306.0000,-1.672231e-04
-305.0000,-1.635144e-04
-304.0000,-1.591015e-04
-303.0000,-1.542579e-04
-302.0000,-1.494143e-04
-301.0000,-1.445707e-04
-300.0000,-1.394773e-04
-299.0000,-1.336029e-04
-298.0000,-1.277286e-04
-297.0000,-1.218542e-04
-296.0000,-1.160908e-04
-295.0000,-1.094253e-04
-294.0000,-1.027418e-04
-293.0000,-9.605828e-05
-292.0000,-8.937478e-05
-291.0000,-8.268695e-05
-290.0000,-7.540429e-05
-289.0000,-6.812438e-05
-288.0000,-6.080928e-05
-287.0000,-5.346360e-05
-286.0000,-4.609773e-05
-285.0000,-3.839458e-05
-284.0000,-3.069143e-05
-283.0000,-2.298828e-05
-282.0000,-1.531321e-05
-281.0000,-7.656608e-06
-280.0000,-1.013702e-12
-10.0000,8.368411e-11
-9.0000,-1.846644e-01
-8.0000,-3.693288e-01
-7.0000,-5.539932e-01
-6.0000,-7.386576e-01
-5.0000,-8.982431e-01
-4.0000,-1.017494e+00
-3.0000,-1.136745e+00
-2.0000,-1.255438e+00
-1.0000,-1.377857e+00
0.0000,-1.502301e+00
1.0000,-1.511719e+00
2.0000,-1.521302e+00
3.0000,-1.527822e+00
4.0000,-1.534296e+00
5.0000,-1.540770e+00
6.0000,-1.547244e+00
7.0000,-1.553718e+00
8.0000,-1.560192e+00
9.0000,-1.566881e+00
10.0000,-1.573214e+00
11.0000,-1.578884e+00
12.0000,-1.583777e+00
13.0000,-1.588402e+00
14.0000,-1.593195e+00
15.0000,-1.598030e+00
16.0000,-1.602864e+00
17.0000,-1.607698e+00
18.0000,-1.612532e+00
19.0000,-1.617349e+00
20.0000,-1.621863e+00
21.0000,-1.626365e+00
22.0000,-1.630931e+00
23.0000,-1.635557e+00
24.0000,-1.640183e+00
25.0000,-1.644809e+00
26.0000,-1.649434e+00
27.0000,-1.654025e+00
28.0000,-1.658616e+00
29.0000,-1.663208e+00
30.0000,-1.667786e+00
31.0000,-1.673300e+00
32.0000,-1.678814e+00
33.0000,-1.684329e+00
34.0000,-1.689843e+00
35.0000,-1.695358e+00
36.0000,-1.695403e+00
37.0000,-1.695449e+00
38.0000,-1.695495e+00
39.0000,-1.695541e+00
40.0000,-1.695587e+00
41.0000,-1.696173e+00
42.0000,-1.696659e+00
43.0000,-1.697094e+00
44.0000,-1.698020e+00
45.0000,-1.698945e+00
46.0000,-1.699871e+00
47.0000,-1.700797e+00
48.0000,-1.701723e+00
49.0000,-1.702489e+00
50.0000,-1.703254e+00
51.0000,-1.704019e+00
52.0000,-1.704784e+00
53.0000,-1.705549e+00
54.0000,-1.706624e+00
55.0000,-1.707699e+00
56.0000,-1.708774e+00
57.0000,-1.709848e+00
58.0000,-1.710923e+00
59.0000,-1.711986e+00
60.0000,-1.713167e+00
61.0000,-1.714381e+00
62.0000,-1.715595e+00
63.0000,-1.716809e+00
64.0000,-1.718023e+00
65.0000,-1.719255e+00
66.0000,-1.720612e+00
67.0000,-1.721968e+00
68.0000,-1.723282e+00
69.0000,-1.724591e+00
70.0000,-1.725901e+00
71.0000,-1.727211e+00
72.0000,-1.728520e+00
73.0000,-1.729830e+00
74.0000,-1.731140e+00
75.0000,-1.732463e+00
76.0000,-1.733858e+00
77.0000,-1.735253e+00
78.0000,-1.736647e+00
79.0000,-1.738050e+00
80.0000,-1.739466e+00
81.0000,-1.740882e+00
82.0000,-1.742298e+00
83.0000,-1.743714e+00
84.0000,-1.745131e+00
85.0000,-1.746547e+00
86.0000,-1.747963e+00
87.0000,-1.749379e+00
88.0000,-1.750796e+00
89.0000,-1.752215e+00
90.0000,-1.753634e+00
91.0000,-1.755055e+00
92.0000,-1.756477e+00
93.0000,-1.757898e+00
94.0000,-1.759320e+00
95.0000,-1.760742e+00
96.0000,-1.762163e+00
97.0000,-1.763585e+00
98.0000,-1.765006e+00
99.0000,-1.766428e+00
100.0000,-1.767849e+00
120.0000,-1.796106e+00
140.0000,-1.824002e+00
160.0000,-1.851560e+00
180.0000,-1.878902e+00
200.0000,-1.906090e+00
220.0000,-1.933185e+00
240.0000,-1.960223e+00
260.0000,-1.987219e+00
