z_nm,phi_V
280.0000,-2.014178e+00
300.0000,-2.041123e+00
320.0000,-2.068058e+00
340.0000,-2.094986e+00
360.0000,-2.121907e+00
380.0000,-2.148824e+00
400.0000,-2.175740e+00
420.0000,-2.202655e+00
440.0000,-2.229568e+00
460.0000,-2.256481e+00
480.0000,-2.283394e+00
500.0000,-2.310306e+00
520.0000,-2.337218e+00
540.0000,-2.364130e+00
560.0000,-2.391042e+00
580.0000,-2.417953e+00
600.0000,-2.444865e+00
620.0000,-2.471777e+00
640.0000,-2.498689e+00
660.0000,-2.525600e+00
680.0000,-2.552512e+00
700.0000,-2.579424e+00
720.0000,-2.606335e+00
740.0000,-2.633247e+00
760.0000,-2.660159e+00
780.0000,-2.687071e+00
800.0000,-2.713982e+00
820.0000,-2.740894e+00
840.0000,-2.767806e+00
860.0000,-2.794717e+00
880.0000,-2.821629e+00
900.0000,-2.848541e+00
920.0000,-2.875452e+00
940.0000,-2.902364e+00
960.0000,-2.929276e+00
980.0000,-2.956188e+00
1000.0000,-2.983099e+00
1020.0000,-3.010011e+00
1040.0000,-3.036923e+00
1060.0000,-3.063834e+00
1080.0000,-3.090746e+00
1100.0000,-3.117658e+00
1120.0000,-3.144569e+00
1140.0000,-3.171481e+00
1160.0000,-3.198393e+00
1180.0000,-3.225304e+00
1200.0000,-3.252216e+00
1220.0000,-3.279128e+00
1240.0000,-3.306040e+00
1260.0000,-3.332951e+00
1280.0000,-3.359863e+00
1300.0000,-3.386775e+00
1320.0000,-3.413686e+00
1340.0000,-3.440598e+00
1360.0000,-3.467510e+00
1380.0000,-3.494421e+00
1400.0000,-3.521333e+00
1420.0000,-3.548245e+00
1440.0000,-3.575157e+00
1460.0000,-3.602068e+00
1480.0000,-3.628980e+00
1500.0000,-3.655892e+00
1520.0000,-3.682803e+00
1540.0000,-3.709715e+00
1560.0000,-3.736627e+00
1580.0000,-3.763538e+00
1600.0000,-3.790450e+00
1620.0000,-3.817362e+00
1640.0000,-3.844273e+00
1660.0000,-3.871185e+00
1680.0000,-3.898097e+00
1700.0000,-3.925009e+00
1720.0000,-3.951920e+00
1740.0000,-3.978832e+00
1760.0000,-4.005744e+00
1780.0000,-4.032655e+00
1800.0000,-4.059567e+00
1820.0000,-4.086479e+00
1840.0000,-4.113390e+00
1860.0000,-4.140302e+00
1880.0000,-4.167214e+00
1900.0000,-4.194126e+00
1920.0000,-4.221037e+00
1940.0000,-4.247949e+00
1960.0000,-4.274861e+00
1980.0000,-4.301772e+00
2000.0000,-4.328684e+00
2020.0000,-4.355596e+00
2040.0000,-4.382507e+00
2053.0000,-4.400000e+00
