z_nm,phi_V
-320.0000,9.997562e-01
-319.0000,9.997580e-01
-318.0000,9.997598e-01
-317.0000,9.997616e-01
-316.0000,9.997641e-01
-315.0000,9.997668e-01
-314.0000,9.997693e-01
-313.0000,9.997718e-01
-312.0000,9.997743e-01
-311.0000,9.997768e-01
-310.0000,9.997793e-01
-309.0000,9.997818e-01
-308.0000,9.997855e-01
-307.0000,9.997902e-01
-306.0000,9.997948e-01
-305.0000,9.997993e-01
-304.0000,9.998047e-01
-303.0000,9.998107e-01
-302.0000,9.998166e-01
-301.0000,9.998226e-01
-300.0000,9.998288e-01
-299.0000,9.998360e-01
-298.0000,9.998432e-01
-297.0000,9.998505e-01
-296.0000,9.998575e-01
-295.0000,9.998657e-01
-294.0000,9.998739e-01
-293.0000,9.998821e-01
-292.0000,9.998903e-01
-291.0000,9.998985e-01
-290.0000,9.999075e-01
-289.0000,9.999164e-01
-288.0000,9.999254e-01
-287.0000,9.999344e-01
-286.0000,9.999434e-01
-285.0000,9.999529e-01
-284.0000,9.999623e-01
-283.0000,9.999718e-01
-282.0000,9.999812e-01
-281.0000,9.999906e-01
-280.0000,1.000000e+00
-10.0000,1.000000e+00
-9.0000,7.733664e-01
-8.0000,5.467328e-01
-7.0000,3.200992e-01
-6.0000,9.346564e-02
-5.0000,-1.023892e-01
-4.0000,-2.487429e-01
-3.0000,-3.950965e-01
-2.0000,-5.407648e-01
-1.0000,-6.910066e-01
0.0000,-8.437334e-01
1.0000,-8.552912e-01
2.0000,-8.670524e-01
3.0000,-8.750542e-01
4.0000,-8.829996e-01
5.0000,-8.909451e-01
6.0000,-8.988905e-01
7.0000,-9.068359e-01
8.0000,-9.147814e-01
9.0000,-9.229904e-01
10.0000,-9.307621e-01
11.0000,-9.377216e-01
12.0000,-9.437268e-01
13.0000,-9.494022e-01
14.0000,-9.552853e-01
15.0000,-9.612182e-01
16.0000,-9.671511e-01
17.0000,-9.730840e-01
18.0000,-9.790169e-01
19.0000,-9.849283e-01
20.0000,-9.904681e-01
21.0000,-9.959939e-01
22.0000,-1.001597e+00
23.0000,-1.007275e+00
24.0000,-1.012952e+00
25.0000,-1.018630e+00
26.0000,-1.024306e+00
27.0000,-1.029940e+00
28.0000,-1.035575e+00
29.0000,-1.041209e+00
30.0000,-1.046828e+00
31.0000,-1.053596e+00
32.0000,-1.060363e+00
33.0000,-1.067131e+00
34.0000,-1.073898e+00
35.0000,-1.080666e+00
36.0000,-1.080722e+00
37.0000,-1.080779e+00
38.0000,-1.080835e+00
39.0000,-1.080891e+00
40.0000,-1.080948e+00
41.0000,-1.081667e+00
42.0000,-1.082263e+00
43.0000,-1.082797e+00
44.0000,-1.083933e+00
45.0000,-1.085069e+00
46.0000,-1.086206e+00
47.0000,-1.087342e+00
48.0000,-1.088479e+00
49.0000,-1.089418e+00
50.0000,-1.090357e+00
51.0000,-1.091296e+00
52.0000,-1.092235e+00
53.0000,-1.093174e+00
54.0000,-1.094493e+00
55.0000,-1.095812e+00
56.0000,-1.097131e+00
57.0000,-1.098450e+00
58.0000,-1.099769e+00
59.0000,-1.101074e+00
60.0000,-1.102523e+00
61.0000,-1.104013e+00
62.0000,-1.105503e+00
63.0000,-1.106993e+00
