z_nm,phi_V
64.0000,-1.108483e+00
65.0000,-1.109995e+00
66.0000,-1.111660e+00
67.0000,-1.113325e+00
68.0000,-1.114936e+00
69.0000,-1.116544e+00
70.0000,-1.118151e+00
71.0000,-1.119759e+00
72.0000,-1.121366e+00
73.0000,-1.122973e+00
74.0000,-1.124581e+00
75.0000,-1.126205e+00
76.0000,-1.127916e+00
77.0000,-1.129628e+00
78.0000,-1.131340e+00
79.0000,-1.133061e+00
80.0000,-1.134799e+00
81.0000,-1.136537e+00
82.0000,-1.138275e+00
83.0000,-1.140013e+00
84.0000,-1.141751e+00
85.0000,-1.143489e+00
86.0000,-1.145227e+00
87.0000,-1.146965e+00
88.0000,-1.148704e+00
89.0000,-1.150445e+00
90.0000,-1.152187e+00
91.0000,-1.153932e+00
92.0000,-1.155676e+00
93.0000,-1.157421e+00
94.0000,-1.159165e+00
95.0000,-1.160910e+00
96.0000,-1.162655e+00
97.0000,-1.164399e+00
98.0000,-1.166144e+00
99.0000,-1.167889e+00
100.0000,-1.169633e+00
120.0000,-1.204312e+00
140.0000,-1.238548e+00
160.0000,-1.272370e+00
180.0000,-1.305925e+00
200.0000,-1.339292e+00
220.0000,-1.372545e+00
240.0000,-1.405728e+00
260.0000,-1.438859e+00
280.0000,-1.471946e+00
300.0000,-1.505015e+00
320.0000,-1.538072e+00
340.0000,-1.571119e+00
360.0000,-1.604158e+00
380.0000,-1.637193e+00
400.0000,-1.670227e+00
420.0000,-1.703258e+00
440.0000,-1.736288e+00
460.0000,-1.769318e+00
480.0000,-1.802347e+00
500.0000,-1.835375e+00
520.0000,-1.868404e+00
540.0000,-1.901432e+00
560.0000,-1.934460e+00
580.0000,-1.967488e+00
600.0000,-2.000516e+00
620.0000,-2.033544e+00
640.0000,-2.066572e+00
660.0000,-2.099600e+00
680.0000,-2.132628e+00
700.0000,-2.165656e+00
720.0000,-2.198684e+00
740.0000,-2.231712e+00
760.0000,-2.264740e+00
780.0000,-2.297768e+00
800.0000,-2.330796e+00
820.0000,-2.363824e+00
840.0000,-2.396852e+00
860.0000,-2.429880e+00
880.0000,-2.462908e+00
900.0000,-2.495936e+00
920.0000,-2.528964e+00
940.0000,-2.561992e+00
960.0000,-2.595020e+00
980.0000,-2.628048e+00
1000.0000,-2.661076e+00
1020.0000,-2.694104e+00
1040.0000,-2.727132e+00
1060.0000,-2.760160e+00
1080.0000,-2.793188e+00
1100.0000,-2.826216e+00
1120.0000,-2.859244e+00
1140.0000,-2.892272e+00
1160.0000,-2.925300e+00
1180.0000,-2.958328e+00
1200.0000,-2.991356e+00
1220.0000,-3.024384e+00
1240.0000,-3.057412e+00
1260.0000,-3.090440e+00
1280.0000,-3.123468e+00
1300.0000,-3.156496e+00
1320.0000,-3.189524e+00
1340.0000,-3.222552e+00
1360.0000,-3.255580e+00
1380.0000,-3.288608e+00
1400.0000,-3.321636e+00
1420.0000,-3.354664e+00
1440.0000,-3.387692e+00
1460.0000,-3.420720e+00
1480.0000,-3.453748e+00
1500.0000,-3.486776e+00
1520.0000,-3.519804e+00
1540.0000,-3.552832e+00
1560.0000,-3.585860e+00
1580.0000,-3.618888e+00
1600.0000,-3.651916e+00
1620.0000,-3.684944e+00
1640.0000,-3.717972e+00
1660.0000,-3.751000e+00
1680.0000,-3.784028e+00
1700.0000,-3.817056e+00
1720.0000,-3.850084e+00
1740.0000,-3.883112e+00
1760.0000,-3.916140e+00
1780.0000,-3.949168e+00
1800.0000,-3.982196e+00
1820.0000,-4.015224e+00
1840.0000,-4.048252e+00
1860.0000,-4.081280e+00
1880.0000,-4.114308e+00
1900.0000,-4.147336e+00
1920.0000,-4.180364e+00
1940.0000,-4.213392e+00
1960.0000,-4.246420e+00
1980.0000,-4.279448e+00
2000.0000,-4.312476e+00
2020.0000,-4.345504e+00
2040.0000,-4.378532e+00
2053.0000,-4.400000e+00
