z_nm,n_points,vtk_min,vtk_mean,vtk_max,fem_min,fem_mean,fem_max,mean_signed_err,mean_abs_err,max_abs_err,rmse,rel_l2_error,normalized_rmse,valid_overlap_frac,nearest_fallback_frac,shape_rmse,pearson_r
1.0,11163,-1.2350000143051147,0.02012990415096283,0.15983550250530243,-0.9941755461412378,-0.9553707215630168,-0.7759820213558788,-0.975500623216645,0.9766937503475253,1.1540110486465402,0.9859433785069622,8.203781095742219,0.21622345647915758,1.0,0.0,0.14311841202671252,-0.7212968386903197
2.0,11163,-1.2350000143051147,0.02012990415096283,0.15983550250530243,-0.9941755461412378,-0.9553707215630168,-0.7759820213558788,-0.975500623216645,0.9766937503475253,1.1540110486465402,0.9859433785069622,8.203781095742219,0.21622345647915758,1.0,0.0,0.14311841202671252,-0.7212968386903197
3.0,11163,-1.2350000143051147,0.02012990415096283,0.15983550250530243,-0.9941755461412378,-0.9553707215630168,-0.7759820213558788,-0.975500623216645,0.9766937503475253,1.1540110486465402,0.9859433785069622,8.203781095742219,0.21622345647915758,1.0,0.0,0.14311841202671252,-0.7212968386903197
4.0,11163,-1.2350000143051147,0.02012990415096283,0.15983550250530243,-0.9941755461412378,-0.9553707215630168,-0.7759820213558788,-0.975500623216645,0.9766937503475253,1.1540110486465402,0.9859433785069622,8.203781095742219,0.21622345647915758,1.0,0.0,0.14311841202671252,-0.7212968386903197
5.0,11163,-1.2350000143051147,0.02012990415096283,0.15983550250530243,-0.9941755461412378,-0.9553707215630168,-0.7759820213558788,-0.975500623216645,0.9766937503475253,1.1540110486465402,0.9859433785069622,8.203781095742219,0.21622345647915758,1.0,0.0,0.14311841202671252,-0.7212968386903197
6.0,11163,-1.2350000143051147,0.02012990415096283,0.15983550250530243,-0.9941755461412378,-0.9553707215630168,-0.7759820213558788,-0.975500623216645,0.9766937503475253,1.1540110486465402,0.9859433785069622,8.203781095742219,0.21622345647915758,1.0,0.0,0.14311841202671252,-0.7212968386903197
7.0,11163,-1.2350000143051147,0.02012990415096283,0.15983550250530243,-0.9941755461412378,-0.9553707215630168,-0.7759820213558788,-0.975500623216645,0.9766937503475253,1.1540110486465402,0.9859433785069622,8.203781095742219,0.21622345647915758,1.0,0.0,0.14311841202671252,-0.7212968386903197
8.0,14884,-1.2350000143051147,0.04197859764099121,0.15983550250530243,-1.0035135541236633,-0.9612094627875465,-0.7759820213558788,-1.0031880565388707,1.0040829018870308,1.1540110486465402,1.0125241395421363,8.476919372067771,0.22205278111600968,1.0,0.0,0.13718183685531485,-0.7593083007038643
9.0,14884,-1.2350000143051147,0.04197859764099121,0.15983550250530243,-1.0035135541236633,-0.9612094627875465,-0.7759820213558788,-1.0031880565388707,1.0040829018870308,1.1540110486465402,1.0125241395421363,8.476919372067771,0.22205278111600968,1.0,0.0,0.13718183685531485,-0.7593083007038643
10.0,11163,-0.9433530569076538,0.08542634546756744,0.15983550250530243,-1.0035135541236633,-0.9659274444321355,-0.7983377248053328,-1.0513537934288508,1.0515059312082433,1.1540110486465402,1.056476235106408,9.111665667720713,0.2316917464253568,1.0,0.0,0.10390975105521366,-0.8328228128718834
11.0,11163,-0.9433530569076538,0.08542634546756744,0.15983550250530243,-1.0035135541236633,-0.9659274444321355,-0.7983377248053328,-1.0513537934288508,1.0515059312082433,1.1540110486465402,1.056476235106408,9.111665667720713,0.2316917464253568,1.0,0.0,0.10390975105521366,-0.8328228128718834
12.0,7442,-0.3967207074165344,0.11605706065893173,0.15983550250530243,-1.0035135541236633,-0.9723530989598128,-0.854482336033836,-1.0884101575314034,1.0884101575314034,1.1540110486465402,1.0911217856562638,8.514651339559334,0.23928972908320198,1.0,0.0,0.0768770455841334,-0.8388071220194544
13.0,7442,-0.3967207074165344,0.11605706065893173,0.15983550250530243,-1.0035135541236633,-0.9723530989598128,-0.854482336033836,-1.0884101575314034,1.0884101575314034,1.1540110486465402,1.0911217856562638,8.514651339559334,0.23928972908320198,1.0,0.0,0.0768770455841334,-0.8388071220194544
14.0,7442,-0.3967207074165344,0.11605706065893173,0.15983550250530243,-1.0035135541236633,-0.9723530989598128,-0.854482336033836,-1.0884101575314034,1.0884101575314034,1.1540110486465402,1.0911217856562638,8.514651339559334,0.23928972908320198,1.0,0.0,0.0768770455841334,-0.8388071220194544
15.0,7442,-0.3967207074165344,0.11605706065893173,0.15983550250530243,-1.0035135541236633,-0.9723530989598128,-0.854482336033836,-1.0884101575314034,1.0884101575314034,1.1540110486465402,1.0911217856562638,8.514651339559334,0.23928972908320198,1.0,0.0,0.0768770455841334,-0.8388071220194544
16.0,14884,-0.3967207074165344,0.10298570990562439,0.15983550250530243,-1.0140994746391128,-0.9821333760499089,-0.854482336033836,-1.0851190929377854,1.0851190929377854,1.1540110486465402,1.0871974834504532,9.552075354030945,0.23842910543512383,1.0,0.0,0.06719317062598593,-0.6659842255832961
17.0,22326,-0.3967207074165344,0.09788737446069717,0.15983550250530243,-1.0153977830151417,-0.9859474257967953,-0.854482336033836,-1.0838347998340307,1.0838347998340307,1.1540110486465402,1.0856767671937402,10.061364532731817,0.23809560299216564,1.0,0.0,0.06321526307029197,-0.6642792695985275
18.0,29768,-0.3967207074165344,0.09478232264518738,0.15983550250530243,-1.0166974982515264,-0.9882698634241479,-0.854482336033836,-1.0830521868246974,1.0830521868246974,1.1540110486465402,1.0847592785192164,10.401910012418218,0.23789439207396218,1.0,0.0,0.06083299236506172,-0.6743812636441548
19.0,37210,-0.3967207074165344,0.09247461706399918,0.15983550250530243,-1.018021315917606,-0.9899956078426586,-0.854482336033836,-1.0824702313775512,1.0824702313775512,1.1540110486465402,1.0840839400708895,10.667923941653472,0.2377462861920487,1.0,0.0,0.05912856584318445,-0.6821931050491026
20.0,40931,-0.20381557941436768,0.08747255057096481,0.13936874270439148,-1.0193519770438335,-0.9937359306850448,-0.8947164454434742,-1.0812084831711957,1.0812084831711957,1.1428822968280548,1.0825864385277246,11.378134541826348,0.23741787487877805,1.0,0.0,0.05460414630638971,-0.8508912357943867
21.0,48373,-0.3197256624698639,0.059012699872255325,0.13936874270439148,-1.0206826381700613,-0.9947356975531113,-0.8947164454434742,-1.0537483970884234,1.0537483970884234,1.1428822968280548,1.0573375523849524,10.662944195360822,0.23188063861039698,1.0,0.0,0.08704605263448759,-0.2893545316267691
22.0,55815,-0.3197256624698639,0.029978228732943535,0.13936874270439148,-1.0220317640680932,-0.9956974132525593,-0.8947164454434742,-1.025675641568041,1.025675641568041,1.1428822968280548,1.0315071472663904,9.408837221569042,0.22621587164837315,1.0,0.0,0.10952841196809393,-0.13322448097256082
23.0,63257,-0.3197256624698639,0.007483731955289841,0.13936874270439148,-1.0234236292040733,-0.9966345820820876,-0.8947164454434742,-1.004118311503093,1.004118311503093,1.1428822968280548,1.0112280188796203,8.615014172940453,0.22176853387040452,1.0,0.0,0.11970180831912053,-0.0599185744097903
24.0,70699,-0.3197256624698639,-0.010536032728850842,0.13936874270439148,-1.024815628226132,-0.9975550170936629,-0.8947164454434742,-0.9870189827594912,0.9870189827594912,1.1428822968280548,0.9948526049974649,8.057142543134347,0.21817730473081817,1.0,0.0,0.12460029403952771,-0.0105852330652549
25.0,78141,-0.3197256624698639,-0.025359541177749634,0.13936874270439148,-1.026207627248191,-0.9984635129878852,-0.8947164454434742,-0.9731039696694693,0.9731039696694693,1.1428822968280548,0.981328971545781,7.637872581627585,0.21521148860706843,1.0,0.0,0.12678806967893444,0.027766478567634367
26.0,85583,-0.3197256624698639,-0.03782058507204056,0.13936874270439148,-1.0275996262702498,-0.999363145652915,-0.8947164454434742,-0.9615425566065485,0.9615425566065485,1.1428822968280548,0.9699531970028745,7.307553456213033,0.21271671117317598,1.0,0.0,0.127456330879279,0.059964407907098664
27.0,93025,-0.3197256624698639,-0.048486147075891495,0.13936874270439148,-1.0289916252923088,-1.0002559642142959,-0.8947164454434742,-0.9517698142840283,0.9517698142840283,1.1428822968280548,0.9602360769423675,7.0380086780328845,0.2105856868848568,1.0,0.0,0.12723028136645484,0.08827927999879669
28.0,96746,-0.3197256624698639,-0.06411212682723999,0.1191723570227623,-1.0303841338740982,-1.0020057388322612,-0.9261492096520008,-0.937893609453435,0.937893609453435,1.13262371402884,0.946181523066501,6.73331036475312,0.20750343664152712,1.0,0.0,0.12496020141688434,0.07530200091814487
29.0,104188,-0.3197256624698639,-0.07211102545261383,0.1191723570227623,-1.0317774803004998,-1.0028591252758536,-0.9261492096520008,-0.9307480988220568,0.9307480988220568,1.13262371402884,0.9389203387308066,6.541499587466081,0.20591101418662539,1.0,0.0,0.12360978531978341,0.09906537862817141
30.0,111630,-0.3197256624698639,-0.079208604991436,0.1191723570227623,-1.033170826726901,-1.0037130726078565,-0.9261492096520008,-0.9245044647009015,0.9245044647009015,1.13262371402884,0.9325330062217746,6.374820170326949,0.204510232820381,1.0,0.0,0.12210365422139532,0.12151123289771074
31.0,119072,-0.3197256624698639,-0.07455423474311829,0.1191723570227623,-1.0345629561977177,-1.0045670091633383,-0.9261492096520008,-0.9300127785500554,0.9300127785500554,1.13262371402884,0.9379033805509257,6.580451653100648,0.20568798899314866,1.0,0.0,0.12140421318967012,0.07714577109072143
32.0,126514,-0.3197256624698639,-0.06712222099304199,0.1191723570227623,-1.0359538687129501,-1.00541948352439,-0.9261492096520008,-0.9382972668969728,0.9382972668969728,1.13262371402884,0.9462844661796456,6.809203322579154,0.20752601270038612,1.0,0.0,0.12268875198711356,0.017066215348699145
33.0,133956,-0.3197256624698639,-0.060639388859272,0.1191723570227623,-1.0373553048519422,-1.0062705204313331,-0.9261492096520008,-0.9456311345650316,0.9456311345650316,1.13262371402884,0.9536368565286246,7.028610481547049,0.20913843719584516,1.0,0.0,0.12330860283971078,-0.034553351577158116
34.0,141398,-0.3197256624698639,-0.06423555314540863,0.1191723570227623,-1.0387721814803732,-1.0071207944322396,-0.9261492096520008,-0.9428852471780064,0.9428852471780064,1.13262371402884,0.9506961583884118,6.9839955185507225,0.20849352397851464,1.0,0.0,0.12161659522125594,-0.013830002559400206
35.0,145119,-0.3197256624698639,-0.07466176152229309,0.1178644523024559,-1.0402190465305328,-1.008394293321698,-0.9280222384536204,-0.9337325364609073,0.9337325364609073,1.1319639269415687,0.9414237548521366,6.708967502209133,0.2064600287634861,1.0,0.0,0.1200926165291718,0.004175326957677489
36.0,145119,-0.3197256624698639,-0.08909629285335541,0.11525201052427292,-1.0416715858936891,-1.0100925181240008,-0.9317682960568596,-0.9209962323184769,0.9209962323184769,1.1306497935394146,0.9283300097047756,6.384022906895762,0.20358848979305666,1.0,0.0,0.11645834870499354,-0.010209706416546737
37.0,145119,-0.3197256624698639,-0.10354381054639816,0.11264403909444809,-1.043124125256845,-1.0117935404900438,-0.9353930183686098,-0.9082497332073288,0.9082497332073288,1.1293415373459745,0.9150500097733143,6.077191260179078,0.20067610400111408,1.0,0.0,0.11135053859935871,-0.037905967573406085
38.0,145119,-0.3197256624698639,-0.11800432950258255,0.11004051566123962,-1.0445777058690562,-1.0134973969946526,-0.9389836497040918,-0.895493074400887,0.895493074400887,1.128037729149151,0.9015754377070133,5.787250460842942,0.19772104734140497,1.0,0.0,0.10454866641984366,-0.08336461614536027
39.0,145119,-0.3197256624698639,-0.13247783482074738,0.10744143277406693,-1.0460314358099339,-1.0152040538854594,-0.9425898220481833,-0.882726220832981,0.882726220832981,1.1267658277685306,0.8878972909686123,5.513018026194842,0.194721345502051,1.0,0.0,0.09568708571228024,-0.15550781240375547
40.0,145119,-0.3197256624698639,-0.14395152032375336,0.07614200562238693,-1.0474851657508115,-1.0169134565912499,-0.9460467762167176,-0.8729619370796036,0.8729619370796036,1.1107049618201046,0.8775162953688198,5.262675928579503,0.19244472921838457,1.0,0.0,0.08928776539897484,-0.21872652183395264
41.0,145119,-0.3150418698787689,-0.14638987183570862,0.07614200562238693,-1.0489388956916892,-1.0186235333648068,-0.9492523673703608,-0.872233656305228,0.872233656305228,1.1107049618201046,0.8767793370117938,5.179719271573037,0.19228310971090468,1.0,0.0,0.08916532181889436,-0.16413025724293745
42.0,145119,-0.3107755184173584,-0.14882807433605194,0.07614200562238693,-1.050392625632567,-1.0203335421100412,-0.9524579585240041,-0.8715054618807327,0.8715054618807327,1.1107049618201046,0.8760444971035505,5.099119358111592,0.1921219547922928,1.0,0.0,0.0890628475821892,-0.10942818242903381
43.0,145119,-0.3068925440311432,-0.15126611292362213,0.07614200562238693,-1.0518463555734445,-1.0220434316672935,-0.9556635496776474,-0.8707773012475137,0.8707773012475137,1.1107049618201046,0.8753116355624626,5.02079139285252,0.1919612337417852,1.0,0.0,0.08897949755486746,-0.054618857917147816
44.0,145119,-0.30336233973503113,-0.1446622908115387,0.07614200562238693,-1.0533068194773547,-1.0237527368877397,-0.9588691408312908,-0.8790904530998339,0.8790904530998339,1.1107049618201046,0.8840914083132857,5.1728808397497605,0.19388669199087782,1.0,0.0,0.09390204214498901,-0.10058514281855636
