z_nm,phi_V
-320.0000,9.997630e-01
-319.0000,9.997647e-01
-318.0000,9.997664e-01
-317.0000,9.997682e-01
-316.0000,9.997707e-01
-315.0000,9.997732e-01
-314.0000,9.997757e-01
-313.0000,9.997781e-01
-312.0000,9.997805e-01
-311.0000,9.997830e-01
-310.0000,9.997854e-01
-309.0000,9.997878e-01
-308.0000,9.997915e-01
-307.0000,9.997960e-01
-306.0000,9.998004e-01
-305.0000,9.998049e-01
-304.0000,9.998101e-01
-303.0000,9.998159e-01
-302.0000,9.998217e-01
-301.0000,9.998275e-01
-300.0000,9.998336e-01
-299.0000,9.998406e-01
-298.0000,9.998476e-01
-297.0000,9.998546e-01
-296.0000,9.998615e-01
-295.0000,9.998694e-01
-294.0000,9.998774e-01
-293.0000,9.998854e-01
-292.0000,9.998933e-01
-291.0000,9.999013e-01
-290.0000,9.999100e-01
-289.0000,9.999187e-01
-288.0000,9.999274e-01
-287.0000,9.999362e-01
-286.0000,9.999450e-01
-285.0000,9.999542e-01
-284.0000,9.999634e-01
-283.0000,9.999726e-01
-282.0000,9.999817e-01
-281.0000,9.999909e-01
-280.0000,1.000000e+00
-10.0000,1.000000e+00
-9.0000,7.815937e-01
-8.0000,5.631873e-01
-7.0000,3.447810e-01
-6.0000,1.263747e-01
-5.0000,-6.230658e-02
-4.0000,-2.031811e-01
-3.0000,-3.440557e-01
-2.0000,-4.842689e-01
-1.0000,-6.289220e-01
0.0000,-7.759820e-01
1.0000,-7.870486e-01
2.0000,-7.983377e-01
3.0000,-8.058058e-01
4.0000,-8.132278e-01
5.0000,-8.206498e-01
6.0000,-8.280718e-01
7.0000,-8.354938e-01
8.0000,-8.429157e-01
9.0000,-8.506014e-01
10.0000,-8.578135e-01
11.0000,-8.641494e-01
12.0000,-8.691401e-01
13.0000,-8.736806e-01
14.0000,-8.785598e-01
15.0000,-8.835202e-01
16.0000,-8.884806e-01
17.0000,-8.934409e-01
18.0000,-8.984013e-01
19.0000,-9.033357e-01
20.0000,-9.078216e-01
21.0000,-9.120876e-01
22.0000,-9.158490e-01
23.0000,-9.193881e-01
24.0000,-9.229272e-01
25.0000,-9.264662e-01
26.0000,-9.300071e-01
27.0000,-9.335977e-01
28.0000,-9.371883e-01
29.0000,-9.407790e-01
30.0000,-9.444440e-01
31.0000,-9.476496e-01
32.0000,-9.508552e-01
33.0000,-9.540608e-01
34.0000,-9.572663e-01
35.0000,-9.604719e-01
36.0000,-9.635412e-01
37.0000,-9.666104e-01
38.0000,-9.696797e-01
39.0000,-9.727489e-01
40.0000,-9.758182e-01
41.0000,-9.785629e-01
42.0000,-9.813377e-01
43.0000,-9.841322e-01
44.0000,-9.867929e-01
45.0000,-9.894535e-01
46.0000,-9.921142e-01
47.0000,-9.947748e-01
48.0000,-9.974355e-01
49.0000,-1.000046e+00
50.0000,-1.002657e+00
51.0000,-1.005268e+00
52.0000,-1.007879e+00
53.0000,-1.010490e+00
54.0000,-1.012823e+00
55.0000,-1.015155e+00
56.0000,-1.017487e+00
57.0000,-1.019820e+00
58.0000,-1.022152e+00
59.0000,-1.024490e+00
60.0000,-1.026766e+00
61.0000,-1.029024e+00
62.0000,-1.031283e+00
63.0000,-1.033542e+00
64.0000,-1.035800e+00
65.0000,-1.038041e+00
66.0000,-1.040159e+00
67.0000,-1.042277e+00
68.0000,-1.044437e+00
69.0000,-1.046601e+00
70.0000,-1.048765e+00
71.0000,-1.050928e+00
72.0000,-1.053092e+00
73.0000,-1.055256e+00
74.0000,-1.057420e+00
75.0000,-1.059564e+00
76.0000,-1.061610e+00
77.0000,-1.063655e+00
78.0000,-1.065700e+00
79.0000,-1.067727e+00
80.0000,-1.069725e+00
81.0000,-1.071723e+00
82.0000,-1.073720e+00
83.0000,-1.075718e+00
84.0000,-1.077716e+00
85.0000,-1.079713e+00
86.0000,-1.081711e+00
87.0000,-1.083708e+00
88.0000,-1.085705e+00
89.0000,-1.087698e+00
90.0000,-1.089691e+00
91.0000,-1.091577e+00
92.0000,-1.093462e+00
93.0000,-1.095347e+00
94.0000,-1.097233e+00
95.0000,-1.099118e+00
96.0000,-1.101003e+00
97.0000,-1.102888e+00
98.0000,-1.104776e+00
99.0000,-1.106664e+00
100.0000,-1.108553e+00
120.0000,-1.145592e+00
140.0000,-1.181395e+00
160.0000,-1.216318e+00
180.0000,-1.250769e+00
200.0000,-1.284905e+00
220.0000,-1.318856e+00
240.0000,-1.352701e+00
260.0000,-1.386466e+00
280.0000,-1.420163e+00
300.0000,-1.453835e+00
320.0000,-1.487488e+00
340.0000,-1.521128e+00
360.0000,-1.554755e+00
380.0000,-1.588378e+00
400.0000,-1.621997e+00
420.0000,-1.655613e+00
440.0000,-1.689228e+00
460.0000,-1.722841e+00
480.0000,-1.756454e+00
500.0000,-1.790067e+00
520.0000,-1.823679e+00
540.0000,-1.857291e+00
560.0000,-1.890902e+00
580.0000,-1.924514e+00
600.0000,-1.958126e+00
620.0000,-1.991737e+00
640.0000,-2.025349e+00
660.0000,-2.058960e+00
680.0000,-2.092572e+00
700.0000,-2.126183e+00
720.0000,-2.159795e+00
740.0000,-2.193406e+00
760.0000,-2.227018e+00
780.0000,-2.260629e+00
800.0000,-2.294241e+00
820.0000,-2.327852e+00
840.0000,-2.361464e+00
860.0000,-2.395075e+00
880.0000,-2.428687e+00
900.0000,-2.462298e+00
920.0000,-2.495909e+00
940.0000,-2.529521e+00
960.0000,-2.563132e+00
980.0000,-2.596744e+00
1000.0000,-2.630355e+00
1020.0000,-2.663967e+00
1040.0000,-2.697578e+00
1060.0000,-2.731190e+00
1080.0000,-2.764801e+00
1100.0000,-2.798413e+00
1120.0000,-2.832024e+00
1140.0000,-2.865636e+00
1160.0000,-2.899247e+00
1180.0000,-2.932859e+00
1200.0000,-2.966470e+00
1220.0000,-3.000082e+00
1240.0000,-3.033693e+00
1260.0000,-3.067305e+00
1280.0000,-3.100916e+00
1300.0000,-3.134528e+00
1320.0000,-3.168139e+00
1340.0000,-3.201751e+00
1360.0000,-3.235362e+00
1380.0000,-3.268974e+00
1400.0000,-3.302585e+00
1420.0000,-3.336197e+00
1440.0000,-3.369808e+00
1460.0000,-3.403420e+00
1480.0000,-3.437031e+00
1500.0000,-3.470642e+00
1520.0000,-3.504254e+00
1540.0000,-3.537865e+00
1560.0000,-3.571477e+00
1580.0000,-3.605088e+00
1600.0000,-3.638700e+00
1620.0000,-3.672311e+00
1640.0000,-3.705923e+00
1660.0000,-3.739534e+00
1680.0000,-3.773146e+00
1700.0000,-3.806757e+00
1720.0000,-3.840369e+00
1740.0000,-3.873980e+00
1760.0000,-3.907592e+00
1780.0000,-3.941203e+00
1800.0000,-3.974815e+00
1820.0000,-4.008426e+00
1840.0000,-4.042038e+00
1860.0000,-4.075649e+00
1880.0000,-4.109261e+00
1900.0000,-4.142872e+00
1920.0000,-4.176484e+00
1940.0000,-4.210095e+00
1960.0000,-4.243707e+00
1980.0000,-4.277318e+00
