name,h_label,n_cells,n_dofs,t_mesh,t_solve,t_total,max_rel_err,mean_rel_err
uniform_coarse,20.0nm uniform,384,125,0.0030045409999956973,0.7850305079999771,0.7880350489999728,0.9676498019641487,0.9640553355157208
uniform_fine,1.0nm uniform,3072000,531441,6.2537976010000875,11.12360515399996,17.37740275500005,0.6354814805806257,0.4003382181301777
quadrant_mixed,Q1=20/Q2=10/Q3=5/Q4=1nm,577618,98124,21.156009992999998,4.817467060000013,25.97347705300001,0.6370740521880168,0.40794459417601264
