config,ranks,n_dofs,t_mesh_s,t_solve_s,t_total_s,wall_s,max_rel_err
uniform_fine,1,531441,6.42,11.29,17.71,23.66,6.355e-01
uniform_fine,4,531441,3.30,6.38,9.68,12.50,6.355e-01
